common_name,scientific_name,category,length_to_measure,smith_no,log_a,b,edible
Angelshark,Squatina africana,Sharks,Total length,21.1,-11.35134983,2.933115959,N
Catshark (Banded),Halaelurus lineatus,Sharks,Total length,11.5,-12.89350986,3.048912048,N
Catshark (Leopard),Poroderma pantherinum,Sharks,Total length,11.15,-11.73612022,2.920005083,N
Catshark (Striped),Poroderma africanum,Sharks,Total length,11.13,-11.90907001,2.958318949,N
Catshark (Tiger),Halaelurus natalensis,Sharks,Total length,11.7,-12.89350986,3.048912048,N
Dogfish (Spiny),Squalus acanthias,Sharks,Total length,5.24,-13.43025495,3.219990589,N
Shark (Blackfin Reef),Carcharhinus melanopterus,Sharks,Pre-caudal length,9.13,-11.34669971,3.049860954,N
Shark (Blackspot),Carcharhinus sealei,Sharks,Pre-caudal length,9.16,-12.17357651,3.233331686,N
Shark (Blacktip) (F),Carcharhinus limbatus,Sharks,Pre-caudal length,9.1,-11.43505001,3.079823017,N
Shark (Blacktip) (M),Carcharhinus limbatus,Sharks,Pre-caudal length,9.1,-11.34669971,3.049860954,N
Shark (Blue) (F),Prionace glauca,Sharks,Total length,9.32,-13.80794411,3.41,N
Shark (Blue) (M),Prionace glauca,Sharks,Total length,9.32,-13.0849664,3.2,N
Shark (Bull) (F),Carcharhinus leucas,Sharks,Pre-caudal length,9.9,-10.76966953,2.979747057,N
Shark (Bull) (M),Carcharhinus leucas,Sharks,Pre-caudal length,9.9,-10.54288006,2.929411888,N
Shark (Copper / Bronze) (F),Carcharhinus brachyurus,Sharks,Pre-caudal length,9.5,-11.91701984,3.140988111,N
Shark (Copper / Bronze) (M),Carcharhinus brachyurus,Sharks,Pre-caudal length,9.5,-11.80140018,3.109893084,N
Shark (Cow) (Sevengill),Notorynchus cepedianus,Sharks,Pre-caudal length,2.4,-12.62215996,3.280111074,N
Shark (Dusky),Carcharhinus obscurus,Sharks,Pre-caudal length,9.14,-11.3801071,3.0499923,N
Shark (Flapnose Hound),Scylliogaleus quecketti,Sharks,Total length,9.34,-12.66267014,3.063977003,N
Shark (Great Hammerhead),Sphyrna mokarran,Sharks,Pre-caudal length,13.2,-10.97926044,2.944046974,N
Shark (Great White),Carcharodon carcharias,Sharks,Pre-caudal length,14.1,-10.75166035,2.94391489,N
Shark (Hardnosed Smooth-hound,Mustelus mosis,Sharks,Total length,9.26,-14.8193903,3.5015769,N
Shark (Hound) (Smooth) (F),Mustelus mustelus,Sharks,Total length,9.27,-14.8193903,3.5015769,N
Shark (Hound) (Smooth) (M),Mustelus mustelus,Sharks,Total length,9.27,-13.38910007,3.189629078,N
Shark (Java),Carcharhinus amboinensis,Sharks,Pre-caudal length,9.4,-10.43056965,2.930546999,N
Shark (Lemon),Negaprion acutidens,Sharks,Pre-caudal length,9.29,-10.9772907,3.003881802,N
Shark (Milk) (F),Rhizoprionodon acutus,Sharks,Pre-caudal length,9.33,-11.72862571,3.056938858,N
Shark (Milk) (M),Rhizoprionodon acutus,Sharks,Pre-caudal length,9.33,-11.72862571,3.056938858,N
Shark (Sandbar) (F),Carcharhinus plumbeus,Sharks,Pre-caudal length,9.15,-11.77966022,3.170077085,N
Shark (Sandbar) (M),Carcharhinus plumbeus,Sharks,Pre-caudal length,9.15,-11.48738956,3.090497971,N
Shark (Scalloped Hammerhead) (F),Sphyrna lewini,Sharks,Pre-caudal length,13.1,-11.5104599,3.069519997,N
Shark (Scalloped Hammerhead) (M),Sphyrna lewini,Sharks,Pre-caudal length,13.1,-11.10394955,2.979325056,N
Shark (Shortfin Mako),Isurus oxyrinchus,Sharks,Pre-caudal length,14.2,-11.12766306,2.98,N
Shark (Smooth Hammerhead) (F),Sphyrna zygaena,Sharks,Pre-caudal length,13.3,-11.61642856,3.085366633,N
Shark (Smooth Hammerhead) (M),Sphyrna zygaena,Sharks,Pre-caudal length,13.3,-11.21096346,2.995366633,N
Shark (Soupfin),Galeorhinus galeus,Sharks,Pre-caudal length,9.2,-8.310648918,2.319703102,N
Shark (Spinner) (F),Carcharhinus brevipinna,Sharks,Pre-caudal length,9.6,-11.83144205,3.1627,N
Shark (Spinner) (M),Carcharhinus brevipinna,Sharks,Pre-caudal length,9.6,-11.64463785,3.0977,N
Shark (Spotted Gully),Triakis megalopterus,Sharks,Total length,9.36,-14.33193016,3.430449963,N
Shark (Spotted Ragged-tooth) (F),Carcharias taurus,Sharks,Pre-caudal length,19.1,-12.01518538,3.217362935,N
Shark (Spotted Ragged-tooth) (M),Carcharias taurus,Sharks,Pre-caudal length,19.1,-11.41074324,3.078114933,N
Shark (Tiger) (F),Galeocerdo cuvier,Sharks,Pre-caudal length,9.19,-11.86960041,3.124,N
Shark (Tiger) (M),Galeocerdo cuvier,Sharks,Pre-caudal length,9.19,-12.02375109,3.141,N
Shark (Whitespotted Smooth-hound),Mustelus palumbes,Sharks,Total length,9.28,-14.8193903,3.5015769,N
Shyshark (Brown),Haploblepharus fuscus,Sharks,Total length,11.9,-12.68410845,3.0172,N
Thresher (Bigeye),Alopias superciliosus,Sharks,Pre-caudal length,16.2,-10.03355026,2.856935024,N
Thresher (Thintail),Alopias vulpinus,Sharks,Pre-caudal length,16.3,-10.03355026,2.856935024,N
Guitarfish (Bluntnose),Rhinobatos blochii,Rays and Guitarfishes,Total length,27.3,-12.02099466,2.869810939,N
Guitarfish (Giant),Rhynchobatus djiddensis,Rays and Guitarfishes,Total length,27.7,-12.15007973,3.011601925,N
Guitarfish (Greyspot),Rhinobatos leucospilus,Rays and Guitarfishes,Total length,27.5,-10.72929955,2.561811924,N
Guitarfish (Lesser),Rhinobatos annulatus,Rays and Guitarfishes,Total length,27.2,-13.31268978,3.177809954,N
Ray (Blacspotted Electric),Torpedo fuscomaculata,Rays and Guitarfishes,Disc width,23.1,-9.804895401,2.807568073,N
Ray (Bull) / Duckbill,Pteromylaeus bovinus,Rays and Guitarfishes,Disc width,28.3,-9.487839699,2.670084953,N
Ray (Butterfly / Diamond),Gymnura natalensis,Rays and Guitarfishes,Disc width,30.7,-11.79977989,3.03984499,N
Ray (Eagle),Myliobatus aquila,Rays and Guitarfishes,Disc width,28.2,-11.16779041,3.059699059,N
Ray (Flapnose),Rhinoptera javanica,Rays and Guitarfishes,Disc width,28.4,-11.59589005,3.138524055,N
Ray (Marbled Electric),Torpedo sinuspersici,Rays and Guitarfishes,Disc width,23.3,-9.804895401,2.807568073,N
Ray (Ribbontail) (Round),Taeniura melanospilos,Rays and Guitarfishes,Disc width,30.14,-9.153886795,2.712804079,N
Ray (Spotted Eagle),Aetobatus narinari,Rays and Guitarfishes,Disc width,28.1,-12.04735391,3.129998498,N
Ribbontail (Bluespotted),Taeniura lymma,Rays and Guitarfishes,Disc width,30.13,-9.153886795,2.712804079,N
Skate (Spearnose),Raja alba,Rays and Guitarfishes,Disc width,25.6,-12.37351036,3.160566092,N
Skate (Thornback),Raja clavata,Rays and Guitarfishes,Disc width,25.8,-10.88177013,3.004992962,N
Stingray (Blue) (F),Dasyatis chrysonota chrysonota,Rays and Guitarfishes,Disc width,30.3,-11.04084969,3.251389027,N
Stingray (Blue) (M),Dasyatis chrysonota chrysonota,Rays and Guitarfishes,Disc width,30.3,-11.08378029,3.185832024,N
Stingray (Brown Sharpnose),Himantura gerrardi,Rays and Guitarfishes,Disc width,30.9,-9.317486763,2.750916004,N
Stingray (Devil),Himantura draco,Rays and Guitarfishes,Disc width,30.8,-9.235686779,2.731860042,N
Stingray (Honeycomb),Himantura uarnak,Rays and Guitarfishes,Disc width,30.1,-9.153886795,2.712804079,N
Stingray (Roundnose),Himantura sp.,Rays and Guitarfishes,Disc width,30.11,-9.235686779,2.731860042,N
Stingray (Short-tail),Dasyatis brevicaudata,Rays and Guitarfishes,Disc width,30.1,-9.654700279,2.870229959,N
Stingray (Thorntail),Dasyatis thetidis,Rays and Guitarfishes,Disc width,30.4,-10.80140972,2.99932909,N
Albacore,Thunnus alalunga,Bony Fishes,Fork length,249.14,-11.19678266,3.097296052,Y
Baardman,Umbrina robinsoni,Bony Fishes,Total length,199.8,-11.4194509,3.0204,Y
Baardman (Slender),Umbrina  ronchus,Bony Fishes,Total length,199.9,-11.66965008,3.14411807,Y
Barracuda (Great),Sphyraena barracuda,Bony Fishes,Fork length,224.3,-11.69070725,2.913470549,Y
Barracuda (Pickhandle),Sphyraena jello,Bony Fishes,Fork length,224.7,-11.17506027,2.809709072,Y
Barracuda (Sawtooth),Sphyraena putnamae,Bony Fishes,Fork length,224.9,-11.7953777,2.930708535,Y
Barrracuda (Blackfin),Sphyraena qenie,Bony Fishes,Fork length,224.1,-12.10168377,2.999994039,Y
Bass (Brindle),Epinephelus lanceolatus,Bony Fishes,Total length,166.45,-10.96440029,2.999917984,Y
Bass (Potato),Epinephelus tukula,Bony Fishes,Total length,166.66,-9.15223217,2.560028076,Y
Blaasop (Blackback),Lagocephalus guentheri,Bony Fishes,Total length,268.19,-10.82821893,2.934397784,Y
Blaasop (Silverstripe),Lagocephalus sceleratus,Bony Fishes,Fork length,268.23,-10.91246898,2.923995568,Y
Blaasop (Smooth),Lagocephalus inermis,Bony Fishes,Total length,268.2,-10.74396888,2.9448,Y
Blaasop (Star),Arothron stellatus,Bony Fishes,Total length,268.8,-9.29916161,2.67238793,Y
Blaasop (Whitespotted),Arothron hispidus,Bony Fishes,Total length,268.2,-9.772453721,2.800998837,Y
Blacktail,Diplodus sargus capensis,Bony Fishes,Fork length,183.17,-11.25680542,3.242000103,Y
Bludger,Carangoides gymnostethus,Bony Fishes,Fork length,210.12,-9.975300789,2.745455027,Y
Blueskin,Polysteganus coeruleopunctatus,Bony Fishes,Total length,183.29,-11.12160969,3.016948938,Y
Bonefish,Albula vulpes,Bony Fishes,Fork length,38.1,-10.6660099,2.889776945,Y
Bonito (Atlantic),Sarda sarda,Bony Fishes,Fork length,249.1,-11.58205986,3.104504108,Y
Bonito (Striped),Sarda orientalis,Bony Fishes,Fork length,249.9,-10.73902988,2.870177031,Y
Bream (Bronze),Pachymetopon grande,Bony Fishes,Fork length,183.24,-10.61913013,3.046120882,Y
Bream (River) / Perch,Acanthopagrus berda,Bony Fishes,Fork length,183.1,-10.64582498,3.022,Y
Bream (Stone),Neoscorpis lithophilus,Bony Fishes,Fork length,190.1,-10.99118996,3.079790115,Y
Bream (Twobar),Acanthopagrus bifasciatus,Bony Fishes,Fork length,183.2,-10.15195066,2.910000367,Y
Carpenter,Argyrozona argyrozona,Bony Fishes,Fork length,183.5,-10.99480285,2.924005836,Y
Catfish (Eel),Plotosus nkunga,Bony Fishes,Total length,60.2,-11.60569,2.939677,Y
Catfish (Sea) (Black),Galeichthys ater,Bony Fishes,Fork length,59.2,-11.09877968,3.040005922,Y
Catfish (White Sea),Galeichthys feliceps,Bony Fishes,Fork length,59.3,-11.37549019,3.080156088,Y
Cavebass,Dinoperca petersi,Bony Fishes,Total length,180.1,-10.60066032,2.960002899,Y
Chub (Blue),Kyphosus cinerascens,Bony Fishes,Fork length,189.2,-10.88860035,3.044718981,Y
Chub (Brassy),Kyphosus vaigiensis,Bony Fishes,Fork length,189.3,-10.81772995,3.036582947,Y
Chub (Grey),Kyphosus bigibbus,Bony Fishes,Fork length,189.1,-10.4987402,2.85947299,Y
Concertina fish,Drepane longimanus,Bony Fishes,Total length,195.1,-10.95837975,3.175065041,Y
Cutlass fish,Trichiurus lepturus,Bony Fishes,Total length,248.6,-15.33028071,3.290133247,Y
Dageraad,Chrysoblephus cristiceps,Bony Fishes,Fork length,183.9,-10.89997959,3.150401115,Y
Dane,Porcostoma dentata,Bony Fishes,Fork length,183.33,-10.84992981,2.984142065,Y
Dorado,Coryphaena hippurus,Bony Fishes,Fork length,211.2,-10.015494,2.60199103,Y
Eel (Blackedged),Conger cinereus cinereus,Bony Fishes,Total length,40.7,-14.34276962,3.271014929,Y
Eel (Conger),Conger wilsoni,Bony Fishes,Total length,40.8,-14.34276962,3.271014929,Y
Eel (Crocodile Snake),Brachysomophis crocodilinus,Bony Fishes,Total length,42.3,-13.11616039,2.998719931,Y
Eel (Leopard) (Moray),Gymnothorax undulatus,Bony Fishes,Total length,41.24,-13.32042781,2.999919707,Y
Eel (Pike) (Conger),Muraenesox bagio,Bony Fishes,Total length,45.1,-12.85744953,2.82366991,Y
Eel (Slender Giant) (Moray),Thyrsoidea macrura,Bony Fishes,Total length,41.28,-11.43947983,2.325802088,Y
Eel (Yellow Edged Moray),Gymnothorax flavimarginatus,Bony Fishes,Total length,41.12,-14.75876045,3.355549097,Y
Elephant Fish / St Joseph,Callorhinchus capensis,Bony Fishes,Total length,34.1,-11.73982607,3.0,Y
Elf / Shad,Pomatomus saltatrix,Bony Fishes,Fork length,178.1,-11.15363979,2.980024099,Y
Emperor (Blue),Lethrinus nebulosus,Bony Fishes,Fork length,185.13,-10.58632618,3.009999058,Y
Emperor (Cutthroat,Lethrinus mahsena,Bony Fishes,Fork length,185.11,-11.04290266,3.076994578,Y
Emperor (Yellowfin),Lethrinus crocineus,Bony Fishes,Total length,185.5,-10.74213982,2.950612068,Y
Englishman,Chrysoblephus anglicus,Bony Fishes,Fork length,183.8,-9.570588112,2.740123034,Y
Fingerfin (Natal),Chirodactylus jessicalenorum,Bony Fishes,Fork length,215.5,-11.06046963,2.977108002,Y
Fingerfin (Twotone),Chirodactylus brachydactylus,Bony Fishes,Fork length,215.3,-11.06046963,2.977108002,Y
Flathead (Bartailed),Platycephalus indicus,Bony Fishes,Total length,155.6,-9.529065132,2.383610964,Y
Flounder (Largetooth),Pseudorhombus arsius,Bony Fishes,Total length,259.17,-11.90448041,3.075998458,Y
Flounder (Measles),Paralichthodes algoensis,Bony Fishes,Total length,260.2,-11.63916969,3.077567101,Y
Fransmadam,Boopsoidea inornata,Bony Fishes,Fork length,183.6,-10.84992981,2.984142065,Y
Fusilier (Yellowtail),Paracaesio xanthura,Bony Fishes,Fork length,181.21,-9.466004372,2.578635931,Y
Galjoen,Dichistius capensis,Bony Fishes,Total length,187.1,-11.33865406,3.1200013,Y
Galjoen (Banded),Dichistius multifasciatus,Bony Fishes,Fork length,187.2,-10.98548985,3.153011084,Y
Geelbek,Atractoscion aequidens,Bony Fishes,Fork length,199.3,-11.66189169,3.010003379,Y
Goatfish (Blacksaddle),Parupeneus rubescens,Bony Fishes,Fork length,196.1,-11.11012884,3.019166473,Y
Goatfish (Indian),Parupeneus indicus,Bony Fishes,Fork length,196.7,-11.09665966,3.087508917,Y
Greenspot kingfish,Caranx ???,Bony Fishes,Fork length,,-9.286496056,2.573,Y
Grunter (Cock),Pomadasys multimaculatum,Bony Fishes,Fork length,179.16,-10.24875749,2.749991417,Y
Grunter (Grey),Pomadasys furcatus,Bony Fishes,Fork length,179.11,-10.41281986,2.839692116,Y
Grunter (Javelin),Pomadasys kaakan,Bony Fishes,Fork length,179.13,-10.29008007,2.712771893,Y
